,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
0,Dhaka,05 December 2024,07:00,0 km/h,88%,17°,268.0,,10.0,,,, 386 
1,Kolkata,05 December 2024,06:30,0 km/h,82%,18°,138.8,278.3,8.5,36.5,9.2,"1,600.0", 214 
2,Lahore,05 December 2024,06:00,0 km/h,76%,10°,132.0,,,,,, 207 
3,Ulaanbaatar,05 December 2024,09:00,3.6 km/h,84%,-22°,119.7,205.5,0.1,53.9,89.5,"3,250.0", 196 
4,Karachi,05 December 2024,06:00,11.1 km/h,67%,14°,105.5,,,,,, 186 
5,Kampala,05 December 2024,03:00,4.9 km/h,70%,16°,100.5,4.7,29.9,15.1,0.0,, 183 
6,Cairo,05 December 2024,03:00,0 km/h,72%,16°,96.3,,,,,, 180 
7,Hanoi,05 December 2024,08:00,11.6 km/h,70%,20°,84.0,103.7,12.9,40.8,,725.6, 171 
8,Delhi,05 December 2024,06:30,5.5 km/h,66%,11°,73.4,126.0,9.1,43.0,7.6,825.0, 164 
9,Baghdad,05 December 2024,04:00,9.3 km/h,66%,7°,73.0,,,,,, 163 
10,Mumbai,05 December 2024,06:30,7.4 km/h,69%,28°,67.3,140.0,8.5,28.4,9.1,625.0, 159 
11,Kathmandu,05 December 2024,06:45,5.5 km/h,93%,7°,62.3,75.1,6.0,,,, 156 
12,Tehran,05 December 2024,04:30,7.4 km/h,41%,2°,54.0,,,,,, 147 
13,Kabul,05 December 2024,05:30,5.3 km/h,37%,1°,53.8,,,,,, 146 
14,Kraków,05 December 2024,02:00,3.7 km/h,68%,3°,52.2,73.1,,28.4,2.8,528.0, 142 
15,Kuwait City,05 December 2024,04:00,1.6 km/h,61%,16°,50.5,,,,,, 138 
16,Tashkent,05 December 2024,06:00,11.1 km/h,86%,0°,49.4,,8.0,,,, 135 
17,Yangon,05 December 2024,07:30,3.7 km/h,88%,24°,47.0,,,,,, 129 
18,Chengdu,05 December 2024,09:00,3.6 km/h,81%,9°,44.0,71.0,3.5,53.0,4.0,800.0, 122 
19,Guangzhou,05 December 2024,09:00,7.5 km/h,65%,21°,44.0,72.0,13.0,51.0,6.0,797.0, 122 
20,Sarajevo,05 December 2024,02:00,9.6 km/h,100%,2°,43.3,33.0,5.5,26.0,17.5,778.5, 120 
21,Kaohsiung,05 December 2024,09:00,11.1 km/h,68%,22°,42.0,83.5,26.0,44.2,5.8,750.0, 117 
22,Ho Chi Minh City,05 December 2024,08:00,5.5 km/h,82%,25°,41.5,,,,,, 116 
23,Wuhan,05 December 2024,09:00,11.2 km/h,56%,5°,40.0,44.0,19.0,16.5,3.5,"3,000.0", 112 
24,Salt Lake City,04 December 2024,18:00,7.4 km/h,79%,2°,40.1,65.0,23.0,53.3,1.4,458.0, 112 
25,Accra,05 December 2024,01:00,16.7 km/h,83%,28°,35.0,,,,,, 99 
26,Hangzhou,05 December 2024,09:00,9.1 km/h,79%,9°,35.0,50.0,31.0,33.0,6.0,600.0, 99 
27,Los Angeles,04 December 2024,17:00,9.3 km/h,73%,14°,33.7,0.0,52.0,43.2,,, 97 
28,Manama,05 December 2024,04:00,3.7 km/h,75%,19°,33.0,,,,,, 96 
29,Milano,05 December 2024,02:00,5.5 km/h,90%,3°,32.6,70.8,2.4,74.5,5.5,"1,000.0", 95 
30,Chiang Mai,05 December 2024,08:00,3.7 km/h,88%,22°,31.6,45.1,,,,, 93 
31,Doha,05 December 2024,04:00,1.8 km/h,73%,19°,32.0,,2.0,,,, 94 
32,Medan,05 December 2024,08:00,3.7 km/h,100%,25°,28.5,,,,,, 87 
33,Riyadh,05 December 2024,04:00,19.9 km/h,45%,17°,27.0,,,,,, 84 
34,Baku,05 December 2024,05:00,7.4 km/h,81%,6°,26.8,,,,,, 84 
35,Shenzhen,05 December 2024,09:00,8.1 km/h,81%,20°,27.0,56.0,64.0,30.0,6.0,600.0, 84 
36,Toronto,04 December 2024,20:00,51.5 km/h,92%,0°,27.0,46.8,32.0,16.9,0.0,229.0, 84 
37,Hong Kong,05 December 2024,09:00,20.9 km/h,74%,21°,27.0,40.5,80.0,42.1,2.6,582.5, 84 
38,Belgrade,05 December 2024,02:00,3.7 km/h,89%,4°,25.7,41.2,14.8,23.2,4.4,670.0, 82 
39,Wrocław,05 December 2024,02:00,3.7 km/h,99%,0°,25.2,40.4,0.9,23.9,8.9,"1,112.5", 81 
40,Kinshasa,05 December 2024,02:00,3 km/h,94%,21°,24.0,,,,,, 79 
41,Warsaw,05 December 2024,02:00,3.7 km/h,93%,3°,22.9,30.8,20.9,20.7,1.6,231.0, 77 
